rank_v2,team,power_index_v2,team_strength_rating,strength_rank,prior_year_team_quality_score,returning_production_score,offense_returning_production,defense_returning_production,qb_score,qb_status,projected_qb,transfer_impact_score,transfer_count,projected_transfer_starters,recruiting_talent_score,coaching_continuity_score,schedule_strength_score,avg_opponent_rating,road_games,context_score
1,Ohio State,74.78391462631403,75.96733434730815,1,77.07274279047606,77.85,75.5,80.5,81.75394144144144,Returning starter,Julian Sayin,52.01941248731078,17.0,0.0,93.7780667457149,85.0,46.3818413224549,52.24690981590035,5,50
2,Notre Dame,73.45769445923291,75.22854608828031,2,75.63244296868045,80.506,80.6,80.4,66.83162116197832,Returning starter,C.J. Carr,62.89997876037785,7.0,0.0,89.46902335424609,85.0,30.957255362095452,43.27077570792778,5,50
3,Georgia,70.08036651882944,71.01278883934393,5,59.1742176948899,81.5,85.0,77.5,64.69272844272844,Returning starter,Gunner Stockton,53.580269898865176,9.0,0.0,97.13108020892744,85.0,47.70223082648152,54.47013503704817,4,50
4,Oregon,69.92210212890727,71.05329601783305,4,69.67808016104418,74.866,77.1,72.4,68.79567705460562,Returning starter,Dante Moore,51.050775227712165,13.0,0.0,90.73602685137935,85.0,42.77344879468871,50.147053435529756,5,50
5,Texas Tech,69.83958264253218,71.43194494256133,3,73.26539529459407,82.46000000000001,82.2,82.7,65.2133319544034,Returning starter,Behren Morton,51.56260104428547,21.0,0.0,74.31707966859784,85.0,31.622887441832333,43.65813150662746,5,50
6,USC,67.47057117147146,68.3279759334593,6,64.83563964641414,76.634,76.8,76.5,64.93869507262363,Returning starter,Jayden Maiava,49.670913173718986,9.0,0.0,80.09025849518207,85.0,46.892856883763386,52.544288573512,5,50
7,Miami,67.27996486780039,68.23806599337439,7,58.35807066622869,71.212,63.2,80.3,72.52413127413128,Transfer (incoming),Darian Mensah,54.40502623985792,13.0,0.0,88.6213812925885,85.0,44.28553785402409,51.026993695493545,5,50
8,Vanderbilt,66.63594124835853,67.53951855149273,8,66.47231607086958,75.616,74.3,77.1,71.64443142121713,Returning starter,Diego Pavia,47.11401869188528,18.0,0.0,68.14737715006154,85.0,44.95008597313781,51.413718697622976,5,50
9,Tennessee,66.45297325356,67.26085375545523,9,62.18334693632891,72.94800000000001,77.2,68.1,63.52655589262733,Returning starter,Joey Aguilar,48.63528274854612,21.0,0.0,87.25788224566986,85.0,47.06384120807468,52.64379064308609,5,50
10,Texas A&M,66.25945659252376,67.02746675510117,10,52.48415058180837,80.41400000000002,81.0,79.7,59.16316188637617,Returning starter,Marcel Reed,50.08414972924923,19.0,0.0,90.39659442259779,85.0,47.82721269066567,53.08802459656454,5,50
11,Arizona,65.42371891005683,66.14698546045729,11,56.743453177274745,84.026,84.8,83.1,63.6902463688178,Returning starter,Noah Fifita,44.90487087319486,23.0,0.0,68.47891607630655,85.0,48.06532170044583,53.22658899042224,5,50
12,Texas,65.37835893264484,65.93740682466213,12,57.91574846361693,68.77000000000001,63.6,74.6,59.09094043022615,Returning starter,Arch Manning,52.18160226501233,22.0,0.0,94.58408260288776,85.0,51.96120952423005,55.49374946174874,5,50
13,Indiana,65.06213612145218,65.91694432522314,13,67.9482659448132,70.48400000000001,61.2,80.9,63.09087148372863,Transfer (incoming),Josh Hoover,52.43427316842533,17.0,0.0,67.35239827544802,85.0,44.54673923094878,52.633838373340375,4,50
14,BYU,63.76734267295225,64.33310206435883,15,57.709091029720035,82.55000000000001,83.7,81.2,52.41261031439603,Returning starter,Bear Bachmeier,47.21477282284178,9.0,0.0,65.85786930027317,85.0,50.18911727919422,54.46250378137722,5,50
15,SMU,63.76467083927099,64.59730195904743,14,63.848296170268846,76.624,77.0,76.2,62.31355717962862,Returning starter,Kevin Jennings,47.065879926614905,14.0,0.0,58.178529402935794,85.0,43.78152396463644,50.7336894683946,5,50
16,North Dakota State,63.18452384352664,64.18625535778452,16,79.19793488695024,76.612,85.0,67.1,73.82474949439235,Returning starter,Cole Payton,40.00976027634213,3.0,0.0,21.577567503677244,85.0,39.14296750133713,46.57950080384417,6,50
17,South Carolina,62.96317426782568,63.78041067868967,17,50.663918920870856,81.342,82.0,80.6,47.915804835447695,Returning starter,Lanorris Sellers,47.28271066669602,25.0,0.0,82.13683265541981,85.0,43.34950040708993,50.482279064231605,5,50
