year,teamId,team,classification,conference,division,expectedWins,total.games,total.wins,total.losses,total.ties,conferenceGames.games,conferenceGames.wins,conferenceGames.losses,conferenceGames.ties,homeGames.games,homeGames.wins,homeGames.losses,homeGames.ties,awayGames.games,awayGames.wins,awayGames.losses,awayGames.ties,neutralSiteGames.games,neutralSiteGames.wins,neutralSiteGames.losses,neutralSiteGames.ties,regularSeason.games,regularSeason.wins,regularSeason.losses,regularSeason.ties,postseason.games,postseason.wins,postseason.losses,postseason.ties
2025,2657,Tuskegee,ii,SIAC,,0.021100521087646484,11,4,7,0,8,3,5,0,4,2,2,0,5,1,4,0,2,1,1,0,11,4,7,0,0,0,0,0
2025,375,St. Scholastica,iii,Minnesota,,,10,3,7,0,9,2,7,0,5,2,3,0,5,1,4,0,0,0,0,0,10,3,7,0,0,0,0,0
2025,2256,Greensboro College,iii,USA South,,0.00584256649017334,10,3,7,0,7,2,5,0,5,1,4,0,5,2,3,0,0,0,0,0,10,3,7,0,0,0,0,0
2025,2951,SUNY Maritime,iii,NEWMAC,,,11,5,6,0,7,3,4,0,5,2,3,0,6,3,3,0,0,0,0,0,11,5,6,0,0,0,0,0
2025,2460,Northern Iowa,fcs,MVFC,,4.391251356340945,12,3,9,0,8,1,7,0,6,3,3,0,6,0,6,0,0,0,0,0,12,3,9,0,0,0,0,0
2025,252,BYU,fbs,Big 12,,9.628044468350708,14,12,2,0,9,8,1,0,6,6,0,0,6,5,1,0,2,1,1,0,13,11,2,0,1,1,0,0
2025,2843,Western Connecticut St,iii,Landmark Conference,,0.010750949382781982,10,5,5,0,0,0,0,0,5,3,2,0,5,2,3,0,0,0,0,0,10,5,5,0,0,0,0,0
2025,275,Wisconsin,fbs,Big Ten,,4.093146201223135,12,4,8,0,9,2,7,0,7,4,3,0,5,0,5,0,0,0,0,0,12,4,8,0,0,0,0,0
2025,2433,UL Monroe,fbs,Sun Belt,West,4.232328414916992,12,3,9,0,8,1,7,0,5,2,3,0,7,1,6,0,0,0,0,0,12,3,9,0,0,0,0,0
2025,2817,Minnesota State Moorhead,ii,Northern Sun,,,11,8,3,0,9,6,3,0,5,4,1,0,6,4,2,0,0,0,0,0,11,8,3,0,0,0,0,0
2025,2198,Eastern Kentucky,fcs,UAC,,4.6913561606779695,12,5,7,0,8,3,5,0,6,3,3,0,6,2,4,0,0,0,0,0,12,5,7,0,0,0,0,0
2025,2222,Ferris State,ii,GLIAC,,,16,16,0,0,7,7,0,0,10,10,0,0,5,5,0,0,1,1,0,0,14,14,0,0,2,2,0,0
2025,2210,Elon,fcs,CAA,,6.638570599257946,12,6,6,0,8,4,4,0,5,3,2,0,7,3,4,0,0,0,0,0,12,6,6,0,0,0,0,0
2025,398,Wilkes,iii,Landmark Conference,,,11,7,4,0,5,3,2,0,5,4,1,0,5,2,3,0,1,1,0,0,11,7,4,0,0,0,0,0
2025,2802,Bethel (MN),iii,Minnesota,,,13,12,1,0,9,9,0,0,7,7,0,0,6,5,1,0,0,0,0,0,13,12,1,0,0,0,0,0
2025,2614,Saint Vincent,iii,Presidents',,,10,2,8,0,7,1,6,0,5,1,4,0,5,1,4,0,0,0,0,0,10,2,8,0,0,0,0,0
2025,352,Kenyon,iii,North Coast,,,10,1,9,0,7,1,6,0,5,0,5,0,5,1,4,0,0,0,0,0,10,1,9,0,0,0,0,0
2025,48,Delaware,fbs,Conference USA,,5.8037663251161575,13,7,6,0,8,4,4,0,6,5,1,0,5,1,4,0,2,1,1,0,12,6,6,0,1,1,0,0
2025,2362,Manchester,iii,Heartland,,,10,0,10,0,6,0,6,0,5,0,5,0,5,0,5,0,0,0,0,0,10,0,10,0,0,0,0,0
2025,63,Buena Vista,iii,American Rivers,,,10,3,7,0,8,2,6,0,5,3,2,0,5,0,5,0,0,0,0,0,10,3,7,0,0,0,0,0
2025,2551,Shaw,ii,CIAA,Southern,,10,2,8,0,7,2,5,0,5,1,4,0,5,1,4,0,0,0,0,0,10,2,8,0,0,0,0,0
2025,2674,Valparaiso,fcs,Pioneer,,2.628659024834633,12,2,10,0,8,1,7,0,6,2,4,0,6,0,6,0,0,0,0,0,12,2,10,0,0,0,0,0
2025,324,Coastal Carolina,fbs,Sun Belt,East,5.177088148891926,13,6,7,0,8,5,3,0,6,4,2,0,6,2,4,0,1,0,1,0,12,6,6,0,1,0,1,0
2025,2919,Monmouth (IL),iii,Midwest,,,11,9,2,0,9,9,0,0,5,5,0,0,6,4,2,0,0,0,0,0,10,9,1,0,1,0,1,0
2025,265,Washington State,fbs,Pac-12,,7.911752678453922,13,7,6,0,2,1,1,0,6,5,1,0,6,1,5,0,1,1,0,0,12,6,6,0,1,1,0,0
2025,154,Wake Forest,fbs,ACC,,8.557896085083485,13,9,4,0,8,4,4,0,7,5,2,0,5,3,2,0,1,1,0,0,12,8,4,0,1,1,0,0
2025,2141,Coe College,iii,American Rivers,,,12,9,3,0,8,7,1,0,4,4,0,0,8,5,3,0,0,0,0,0,11,8,3,0,1,1,0,0
2025,2424,New Mexico Highlands,ii,Rocky Mountain,,,11,6,5,0,9,4,5,0,5,4,1,0,6,2,4,0,0,0,0,0,11,6,5,0,0,0,0,0
2025,2738,Wisconsin-Eau Claire,iii,Wisconsin,,,10,3,7,0,7,0,7,0,5,2,3,0,5,1,4,0,0,0,0,0,10,3,7,0,0,0,0,0
2025,75,North Park,iii,CCIW,,,10,3,7,0,9,2,7,0,5,2,3,0,5,1,4,0,0,0,0,0,10,3,7,0,0,0,0,0
2025,2323,Lane College,ii,SIAC,,0.03832894563674927,10,0,10,0,8,0,8,0,5,0,5,0,5,0,5,0,0,0,0,0,10,0,10,0,0,0,0,0
2025,2415,Morgan State,fcs,MEAC,,5.396073371171951,12,4,8,0,5,1,4,0,5,2,3,0,6,1,5,0,1,1,0,0,12,4,8,0,0,0,0,0
2025,2400,Mississippi Valley State,fcs,SWAC,East,1.4539605379104614,12,2,10,0,9,1,8,0,6,2,4,0,6,0,6,0,0,0,0,0,12,2,10,0,0,0,0,0
2025,284,Stonehill,fcs,NEC,,5.194740459322929,12,4,8,0,7,3,4,0,5,2,3,0,7,2,5,0,0,0,0,0,12,4,8,0,0,0,0,0
2025,2382,Mercer,fcs,Southern,,8.379423204809427,12,9,3,0,8,8,0,0,6,4,2,0,6,5,1,0,0,0,0,0,12,9,3,0,0,0,0,0
2025,210,Millersville,ii,Pennsylvania State Athletic,Eastern,,11,0,11,0,9,0,9,0,7,0,7,0,4,0,4,0,0,0,0,0,11,0,11,0,0,0,0,0
2025,2262,Hanover College,iii,Heartland,,0.0,12,9,3,0,6,6,0,0,6,5,1,0,6,4,2,0,0,0,0,0,11,8,3,0,1,1,0,0
2025,61,Georgia,fbs,SEC,,10.335515518672764,14,12,2,0,8,7,1,0,7,6,1,0,3,3,0,0,4,3,1,0,13,12,1,0,1,0,1,0
2025,272,Wisconsin-Platteville,iii,Wisconsin,,,12,9,3,0,7,5,2,0,6,6,0,0,6,3,3,0,0,0,0,0,11,8,3,0,1,1,0,0
2025,2261,Hampton,fcs,CAA,,2.386685585603118,12,2,10,0,8,0,8,0,6,2,4,0,5,0,5,0,1,0,1,0,12,2,10,0,0,0,0,0
2025,2233,Franklin,iii,Heartland,,,10,5,5,0,6,3,3,0,5,3,2,0,5,2,3,0,0,0,0,0,10,5,5,0,0,0,0,0
2025,30,USC,fbs,Big Ten,,8.456254959106445,13,9,4,0,9,7,2,0,7,7,0,0,5,2,3,0,1,0,1,0,12,9,3,0,1,0,1,0
2025,2364,Minnesota State Mankato,ii,Northern Sun,,,14,10,4,0,9,6,3,0,6,5,1,0,7,4,3,0,1,1,0,0,13,9,4,0,1,1,0,0
2025,166,New Mexico State,fbs,Conference USA,,4.784720063209534,12,4,8,0,8,2,6,0,6,3,3,0,6,1,5,0,0,0,0,0,12,4,8,0,0,0,0,0
2025,2318,La Verne,iii,So. Cal.,,,9,1,8,0,8,1,7,0,5,0,5,0,4,1,3,0,0,0,0,0,9,1,8,0,0,0,0,0
2025,221,Pittsburgh,fbs,ACC,,8.184614904224873,13,8,5,0,8,6,2,0,7,4,3,0,5,4,1,0,1,0,1,0,12,8,4,0,1,0,1,0
2025,98,Western Kentucky,fbs,Conference USA,,7.989693649113178,13,9,4,0,8,6,2,0,6,5,1,0,6,3,3,0,1,1,0,0,12,8,4,0,1,1,0,0
2025,233,South Dakota,fcs,MVFC,,8.321310117840767,15,10,5,0,8,6,2,0,7,6,1,0,8,4,4,0,0,0,0,0,15,10,5,0,0,0,0,0
2025,2532,Salisbury,iii,New Jersey,,,12,10,2,0,6,5,1,0,5,5,0,0,7,5,2,0,0,0,0,0,11,9,2,0,1,1,0,0
2025,301,San Diego,fcs,Pioneer,,6.963766623288393,12,8,4,0,8,6,2,0,6,4,2,0,6,4,2,0,0,0,0,0,12,8,4,0,0,0,0,0
2025,57,Florida,fbs,SEC,,4.489637300372124,12,4,8,0,8,2,6,0,6,4,2,0,5,0,5,0,1,0,1,0,12,4,8,0,0,0,0,0
2025,2754,Youngstown State,fcs,MVFC,,6.636184528470039,13,8,5,0,8,5,3,0,7,5,2,0,6,3,3,0,0,0,0,0,13,8,5,0,0,0,0,0
2025,2168,Dayton,fcs,Pioneer,,7.145630989223719,11,7,4,0,8,5,3,0,5,3,2,0,6,4,2,0,0,0,0,0,11,7,4,0,0,0,0,0
2025,2060,Bentley,ii,Northeast 10,,0.005258023738861084,11,7,4,0,8,7,1,0,6,4,2,0,5,3,2,0,0,0,0,0,10,7,3,0,1,0,1,0
2025,2127,Charleston Southern,fcs,Big South-OVC,,3.798720672726631,12,5,7,0,8,4,4,0,5,3,2,0,7,2,5,0,0,0,0,0,12,5,7,0,0,0,0,0
2025,266,Beloit,iii,Midwest,,,10,1,9,0,9,1,8,0,5,0,5,0,5,1,4,0,0,0,0,0,10,1,9,0,0,0,0,0
2025,2220,Fayetteville State,ii,CIAA,Southern,0.0,10,6,4,0,7,6,1,0,4,3,1,0,6,3,3,0,0,0,0,0,10,6,4,0,0,0,0,0
2025,247,Kings College (PA),iii,Mid Atlantic,,,10,5,5,0,9,5,4,0,4,3,1,0,6,2,4,0,0,0,0,0,10,5,5,0,0,0,0,0
2025,184,University of Rochester (NY),iii,Liberty League,,,10,5,5,0,6,1,5,0,6,3,3,0,4,2,2,0,0,0,0,0,10,5,5,0,0,0,0,0
2025,424,Capital,iii,Ohio,,,10,3,7,0,8,1,7,0,5,1,4,0,5,2,3,0,0,0,0,0,10,3,7,0,0,0,0,0
2025,36,Colorado State,fbs,Mountain West,,3.102715323679149,12,2,10,0,8,1,7,0,7,2,5,0,5,0,5,0,0,0,0,0,12,2,10,0,0,0,0,0
2025,2441,New Haven,fcs,NEC,,4.1589367389678955,10,5,5,0,0,0,0,0,4,4,0,0,6,1,5,0,0,0,0,0,10,5,5,0,0,0,0,0
