team,qb,status,prev_team_2025,att_2025,yds_2025,td_2025,int_2025,pct_2025,ypa_2025,source,note
Air Force,Liam Szarka,Returning starter,Air Force,120.0,1294.0,9.0,5.0,0.625,10.8,2025 stats,
Akron,Ben Finley,Returning starter,Akron,362.0,2475.0,19.0,9.0,0.514,6.8,2025 stats,
Alabama,Austin Mack,Returning (limited 2025),Alabama,16.0,125.0,2.0,0.0,0.813,7.8,2025 stats,
App State,J.J. Kohl,Returning (stepped up),App State,216.0,1465.0,12.0,2.0,0.616,6.8,2025 stats,
Arizona,Noah Fifita,Returning starter,Arizona,386.0,2963.0,26.0,5.0,0.64,7.7,2025 stats,
Arizona State,Jeff Sims,Returning (stepped up),Arizona State,150.0,886.0,7.0,5.0,0.52,5.9,2025 stats,
Arkansas,AJ Hill,Transfer (incoming),Memphis,25.0,175.0,1.0,1.0,0.52,7.0,portal: Memphis -> Arkansas,
Arkansas State,Trey Owens,Transfer (incoming),Texas,,,,,,,portal: Texas -> Arkansas State,
Army,Cale Hellums,Returning (limited 2025),Army,79.0,586.0,3.0,3.0,0.506,7.4,2025 stats,
Auburn,Byrum Brown,Transfer (incoming),South Florida,341.0,3158.0,28.0,7.0,0.663,9.3,portal: South Florida -> Auburn,
BYU,Bear Bachmeier,Returning starter,BYU,349.0,2708.0,14.0,6.0,0.642,7.8,2025 stats,
Ball State,Kiael Kelly,Returning starter,Ball State,272.0,1560.0,10.0,8.0,0.563,5.7,2025 stats,
Baylor,Sawyer Robertson,Returning starter,Baylor,503.0,3681.0,31.0,12.0,0.604,7.3,2025 stats,competition from transfer DJ Lagway
Boise State,Maddux Madsen,Returning starter,Boise State,286.0,2282.0,18.0,7.0,0.591,8.0,2025 stats,
Boston College,Grayson James,Returning (stepped up),Boston College,151.0,1196.0,7.0,5.0,0.576,7.9,2025 stats,
Bowling Green,Drew Pyne,Returning starter,Bowling Green,151.0,882.0,4.0,5.0,0.623,5.8,2025 stats,
Buffalo,Ta'Quan Roberson,Returning starter,Buffalo,356.0,2520.0,17.0,12.0,0.579,7.1,2025 stats,
California,Jaron-Keawe Sagapolutele,Returning starter,California,452.0,3109.0,17.0,9.0,0.635,6.9,2025 stats,
Central Michigan,Joey Labas,Returning starter,Central Michigan,183.0,1676.0,12.0,6.0,0.689,9.2,2025 stats,
Charlotte,Grayson Loftis,Returning starter,Charlotte,232.0,1415.0,8.0,8.0,0.552,6.1,2025 stats,
Cincinnati,JC French IV,Transfer (incoming),Georgia Southern,,,,,,,portal: Georgia Southern -> Cincinnati,
Clemson,Christopher Vizzina,Returning (limited 2025),Clemson,71.0,406.0,4.0,1.0,0.634,5.7,2025 stats,
Coastal Carolina,Trever Jackson,Transfer (incoming),Arkansas,1.0,0.0,0.0,0.0,0.0,0.0,portal: Arkansas -> Coastal Carolina,
Colorado,Kaidon Salter,Returning starter,Colorado,204.0,1414.0,10.0,7.0,0.623,6.9,2025 stats,
Colorado State,Darius Curry,Returning (stepped up),Colorado State,107.0,740.0,5.0,7.0,0.654,6.9,2025 stats,
Delaware,Nick Minicucci,Returning starter,Delaware,484.0,3495.0,22.0,7.0,0.626,7.2,2025 stats,
Duke,Walker Eget,Transfer (incoming),San José State,393.0,3058.0,17.0,9.0,0.59,7.8,portal: San José State -> Duke,
East Carolina,Emory Williams,Transfer (incoming),Miami,19.0,156.0,0.0,0.0,0.684,8.2,portal: Miami -> East Carolina,
Eastern Michigan,Noah Kim,Returning starter,Eastern Michigan,402.0,2817.0,18.0,11.0,0.614,7.0,2025 stats,
Florida,D.J. Lagway,Returning starter,Florida,337.0,2264.0,16.0,14.0,0.632,6.7,2025 stats,
Florida Atlantic,Caden Veltkamp,Returning starter,Florida Atlantic,514.0,3652.0,24.0,17.0,0.671,7.1,2025 stats,
Florida International,Joe Pesansky,Returning (stepped up),Florida International,128.0,919.0,9.0,6.0,0.609,7.2,2025 stats,
Florida State,Thomas Castellanos,Returning starter,Florida State,309.0,2760.0,15.0,9.0,0.583,8.9,2025 stats,
Fresno State,E.J. Warner,Returning starter,Fresno State,255.0,1811.0,12.0,11.0,0.694,7.1,2025 stats,
Georgia,Gunner Stockton,Returning starter,Georgia,355.0,2691.0,23.0,5.0,0.707,7.6,2025 stats,competition from transfer Bryson Beaver
Georgia Southern,JC French,Returning starter,Georgia Southern,365.0,2753.0,19.0,8.0,0.633,7.5,2025 stats,
Georgia State,Cameran Brown,Returning (stepped up),Georgia State,184.0,1259.0,13.0,1.0,0.647,6.8,2025 stats,
Georgia Tech,Haynes King,Returning starter,Georgia Tech,321.0,2697.0,12.0,5.0,0.717,8.4,2025 stats,
Hawai'i,Micah Alejado,Returning starter,Hawai'i,384.0,2832.0,21.0,9.0,0.659,7.4,2025 stats,
Houston,Conner Weigman,Returning starter,Houston,319.0,2475.0,21.0,9.0,0.639,7.8,2025 stats,
Illinois,Luke Altmyer,Returning starter,Illinois,332.0,2811.0,21.0,5.0,0.681,8.5,2025 stats,
Indiana,Josh Hoover,Transfer (incoming),TCU,413.0,3472.0,29.0,13.0,0.659,8.4,portal: TCU -> Indiana,
Iowa,Mark Gronowski,Returning starter,Iowa,240.0,1529.0,8.0,6.0,0.625,6.4,2025 stats,
Iowa State,Jaylen Raynor,Transfer (incoming),Arkansas State,469.0,3076.0,16.0,11.0,0.672,6.6,portal: Arkansas State -> Iowa State,
Jacksonville State,Caden Creel,Returning starter,Jacksonville State,191.0,1341.0,8.0,4.0,0.607,7.0,2025 stats,
James Madison,Alonza Barnett,Returning starter,James Madison,322.0,2533.0,21.0,8.0,0.599,7.9,2025 stats,
Kansas,Jalon Daniels,Returning starter,Kansas,319.0,2504.0,22.0,7.0,0.621,7.8,2025 stats,
Kansas State,Avery Johnson,Returning starter,Kansas State,341.0,2380.0,18.0,6.0,0.598,7.0,2025 stats,
Kennesaw State,Rickie Collins,Transfer (incoming),Syracuse,181.0,1042.0,6.0,10.0,0.536,5.8,portal: Syracuse -> Kennesaw State,
Kent State,Dru Deshields,Returning starter,Kent State,240.0,2030.0,18.0,3.0,0.567,8.5,2025 stats,
Kentucky,Kenny Minchey,Transfer (incoming),Notre Dame,26.0,196.0,0.0,0.0,0.769,7.5,portal: Notre Dame -> Kentucky,
LSU,Sam Leavitt,Transfer (incoming),Arizona State,239.0,1628.0,10.0,3.0,0.607,6.8,portal: Arizona State -> LSU,
Liberty,Ethan Vasko,Returning starter,Liberty,266.0,1961.0,10.0,12.0,0.568,7.4,2025 stats,
Louisiana,D'Wayne' Winfield,Returning starter,Louisiana,180.0,1324.0,10.0,6.0,0.589,7.4,2025 stats,
Louisiana Tech,Blake Baker,Returning starter,Louisiana Tech,155.0,1252.0,5.0,3.0,0.658,8.1,2025 stats,
Louisville,Miller Moss,Returning starter,Louisville,356.0,2526.0,14.0,7.0,0.64,7.1,2025 stats,
Marshall,Carlos Del Rio-Wilson,Returning starter,Marshall,256.0,2043.0,17.0,5.0,0.668,8.0,2025 stats,
Maryland,Malik Washington,Returning starter,Maryland,473.0,2963.0,17.0,9.0,0.577,6.3,2025 stats,
Massachusetts,Logan Inagawa,Transfer (incoming),Drake,167.0,1149.0,8.0,4.0,0.665,6.9,portal: Drake -> Massachusetts,
Memphis,Brendon Lewis,Returning starter,Memphis,343.0,2567.0,15.0,6.0,0.697,7.5,2025 stats,
Miami,Darian Mensah,Transfer (incoming),Duke,449.0,3646.0,30.0,5.0,0.679,8.1,portal: Duke -> Miami,
Miami (OH),Dequan Finn,Returning starter,Miami (OH),181.0,1451.0,9.0,6.0,0.586,8.0,2025 stats,
Michigan,Bryce Underwood,Returning starter,Michigan,293.0,2229.0,9.0,6.0,0.611,7.6,2025 stats,
Michigan State,Alessio Milivojevic,Returning (stepped up),Michigan State,173.0,1267.0,10.0,3.0,0.642,7.3,2025 stats,
Middle Tennessee,Nick Vattiato,Returning starter,Middle Tennessee,357.0,2157.0,16.0,7.0,0.613,6.0,2025 stats,
Minnesota,Drake Lindsey,Returning starter,Minnesota,361.0,2235.0,16.0,6.0,0.632,6.2,2025 stats,
Mississippi State,Blake Shapen,Returning starter,Mississippi State,304.0,2436.0,15.0,8.0,0.641,8.0,2025 stats,
Missouri,Austin Simmons,Transfer (incoming),Ole Miss,70.0,680.0,4.0,5.0,0.586,9.7,portal: Ole Miss -> Missouri,
Missouri State,Jacob Clark,Returning starter,Missouri State,341.0,2895.0,24.0,11.0,0.651,8.5,2025 stats,
NC State,CJ Bailey,Returning starter,NC State,372.0,2884.0,23.0,9.0,0.696,7.8,2025 stats,
Navy,Blake Horvath,Returning starter,Navy,144.0,1472.0,10.0,6.0,0.611,10.2,2025 stats,
Nebraska,Anthony Colandrea,Transfer (incoming),UNLV,387.0,3275.0,23.0,8.0,0.661,8.5,portal: UNLV -> Nebraska,
Nevada,Carter Jones,Returning starter,Nevada,173.0,1001.0,6.0,8.0,0.642,5.8,2025 stats,
New Mexico,Jack Layne,Returning starter,New Mexico,302.0,2398.0,13.0,9.0,0.659,7.9,2025 stats,
New Mexico State,Logan Fife,Returning starter,New Mexico State,361.0,2232.0,11.0,12.0,0.562,6.2,2025 stats,
North Carolina,Giovanni Lopez,Returning starter,North Carolina,261.0,1747.0,10.0,5.0,0.651,6.7,2025 stats,
North Dakota State,Cole Payton,Returning starter,North Dakota State,225.0,2719.0,16.0,4.0,0.72,12.1,2025 stats,
North Texas,Tayven Jackson,Transfer (incoming),UCF,315.0,2151.0,10.0,8.0,0.635,6.8,portal: UCF -> North Texas,
Northern Illinois,Josh Holst,Returning starter,Northern Illinois,130.0,689.0,4.0,3.0,0.6,5.3,2025 stats,
Northwestern,Preston Stone,Returning starter,Northwestern,339.0,2174.0,14.0,12.0,0.599,6.4,2025 stats,competition from transfer Aidan Chiles
Notre Dame,C.J. Carr,Returning starter,Notre Dame,293.0,2741.0,24.0,6.0,0.666,9.4,2025 stats,
Ohio,Matt Vezza,Transfer (incoming),New Hampshire,369.0,2673.0,19.0,7.0,0.612,7.2,portal: New Hampshire -> Ohio,
Ohio State,Julian Sayin,Returning starter,Ohio State,356.0,3323.0,31.0,6.0,0.784,9.3,2025 stats,
Oklahoma,John Mateer,Returning starter,Oklahoma,356.0,2578.0,12.0,10.0,0.621,7.2,2025 stats,
Oklahoma State,Drew Mestemaker,Transfer (incoming),North Texas,418.0,4119.0,31.0,7.0,0.699,9.9,portal: North Texas -> Oklahoma State,
Old Dominion,Jaxon Potter,Transfer (incoming),Washington State,95.0,604.0,4.0,3.0,0.705,6.4,portal: Washington State -> Old Dominion,
Ole Miss,Trinidad Chambliss,Returning starter,Ole Miss,333.0,3016.0,18.0,3.0,0.655,9.1,2025 stats,competition from transfer Deuce Knight
Oregon,Dante Moore,Returning starter,Oregon,313.0,2733.0,24.0,6.0,0.725,8.7,2025 stats,competition from transfer Dylan Raiola
Oregon State,Maalik Murphy,Returning starter,Oregon State,276.0,1802.0,9.0,8.0,0.58,6.5,2025 stats,
Penn State,Rocco Becht,Transfer (incoming),Iowa State,337.0,2565.0,16.0,9.0,0.605,7.6,portal: Iowa State -> Penn State,
Pittsburgh,Mason Heintschel,Returning starter,Pittsburgh,276.0,2101.0,15.0,7.0,0.638,7.6,2025 stats,
Purdue,Ryan Browne,Returning starter,Purdue,338.0,2153.0,9.0,10.0,0.589,6.4,2025 stats,
Rice,Jacurri Brown,Transfer (incoming),UCF,5.0,97.0,1.0,1.0,0.6,19.4,portal: UCF -> Rice,
Rutgers,Athan Kaliakmanis,Returning starter,Rutgers,368.0,3124.0,20.0,7.0,0.622,8.5,2025 stats,
SMU,Kevin Jennings,Returning starter,SMU,422.0,3363.0,26.0,10.0,0.661,8.0,2025 stats,
Sacramento State,Carson Conklin,Transfer (incoming),Fresno State,96.0,354.0,1.0,2.0,0.49,3.7,portal: Fresno State -> Sacramento State,
Sam Houston,Landyn Locke,Returning (stepped up),Sam Houston,141.0,765.0,4.0,4.0,0.504,5.4,2025 stats,
San Diego State,Jayden Denegal,Returning starter,San Diego State,244.0,1810.0,9.0,8.0,0.586,7.4,2025 stats,
San José State,Luke Weaver,Transfer (incoming),Hawai'i,102.0,600.0,5.0,3.0,0.598,5.9,portal: Hawai'i -> San José State,
South Alabama,Bishop Davenport,Returning starter,South Alabama,294.0,2072.0,12.0,6.0,0.68,7.0,2025 stats,
South Carolina,Lanorris Sellers,Returning starter,South Carolina,293.0,2437.0,13.0,8.0,0.608,8.3,2025 stats,
South Florida,Luke Kromenhoek,Transfer (incoming),Mississippi State,4.0,20.0,0.0,0.0,0.5,5.0,portal: Mississippi State -> South Florida,
Southern Miss,Braylon Braxton,Returning starter,Southern Miss,353.0,2795.0,23.0,7.0,0.652,7.9,2025 stats,
Stanford,Ben Gulbranson,Returning starter,Stanford,260.0,1813.0,9.0,10.0,0.569,7.0,2025 stats,
Syracuse,Steven Angeli,Returning (stepped up),Syracuse,155.0,1317.0,10.0,2.0,0.626,8.5,2025 stats,
TCU,Jaden Craig,Transfer (incoming),Harvard,331.0,2829.0,25.0,7.0,0.616,8.5,portal: Harvard -> TCU,
Temple,Evan Simon,Returning starter,Temple,314.0,2098.0,25.0,2.0,0.605,6.7,2025 stats,
Tennessee,Joey Aguilar,Returning starter,Tennessee,386.0,3444.0,24.0,10.0,0.668,8.9,2025 stats,
Texas,Arch Manning,Returning starter,Texas,370.0,2942.0,24.0,7.0,0.614,8.0,2025 stats,
Texas A&M,Marcel Reed,Returning starter,Texas A&M,338.0,2932.0,25.0,10.0,0.618,8.7,2025 stats,
Texas State,Brad Jackson,Returning starter,Texas State,328.0,3049.0,18.0,7.0,0.713,9.3,2025 stats,
Texas Tech,Behren Morton,Returning starter,Texas Tech,301.0,2643.0,22.0,4.0,0.668,8.8,2025 stats,competition from transfer Brendan Sorsby
Toledo,Tucker Gleason,Returning starter,Toledo,320.0,2515.0,21.0,9.0,0.647,7.9,2025 stats,
Troy,Tucker Kilcrease,Returning starter,Troy,199.0,1421.0,9.0,4.0,0.593,7.1,2025 stats,
Tulane,Jake Retzlaff,Returning starter,Tulane,356.0,2862.0,14.0,6.0,0.624,8.0,2025 stats,
Tulsa,Baylor Hayes,Returning starter,Tulsa,316.0,2159.0,12.0,6.0,0.589,6.8,2025 stats,
UAB,Jalen Kitna,Returning starter,UAB,337.0,2462.0,13.0,11.0,0.662,7.3,2025 stats,
UCF,Alonza Barnett III,Transfer (incoming),James Madison,,,,,,,portal: James Madison -> UCF,
UCLA,Nico Iamaleava,Returning starter,UCLA,323.0,1928.0,13.0,7.0,0.644,6.0,2025 stats,
UConn,Joe Fagnano,Returning starter,UConn,412.0,3441.0,28.0,1.0,0.689,8.4,2025 stats,
UL Monroe,Aidan Armenta,Returning starter,UL Monroe,252.0,1619.0,12.0,8.0,0.583,6.4,2025 stats,
UNLV,Jackson Arnold,Transfer (incoming),Auburn,215.0,1309.0,6.0,2.0,0.633,6.1,portal: Auburn -> UNLV,
USC,Jayden Maiava,Returning starter,USC,373.0,3431.0,23.0,8.0,0.662,9.2,2025 stats,
UTEP,EJ Colson,Transfer (incoming),Incarnate Word,296.0,2142.0,16.0,4.0,0.709,7.2,portal: Incarnate Word -> UTEP,
UTSA,Owen McCown,Returning starter,UTSA,381.0,2695.0,27.0,7.0,0.677,7.1,2025 stats,
Utah,Devon Dampier,Returning starter,Utah,303.0,2180.0,22.0,5.0,0.637,7.2,2025 stats,
Utah State,Bryson Barnes,Returning starter,Utah State,335.0,2686.0,18.0,4.0,0.603,8.0,2025 stats,
Vanderbilt,Diego Pavia,Returning starter,Vanderbilt,340.0,3192.0,27.0,8.0,0.712,9.4,2025 stats,
Virginia,Chandler Morris,Returning starter,Virginia,398.0,2802.0,16.0,9.0,0.646,7.0,2025 stats,competition from transfer Beau Pribula
Virginia Tech,Kyron Drones,Returning starter,Virginia Tech,315.0,1919.0,17.0,9.0,0.565,6.1,2025 stats,competition from transfer Ethan Grunkemeyer
Wake Forest,Robby Ashford,Returning starter,Wake Forest,289.0,2169.0,9.0,7.0,0.592,7.5,2025 stats,
Washington,Elijah Brown,Transfer (incoming),Stanford,127.0,829.0,4.0,2.0,0.583,6.5,portal: Stanford -> Washington,
Washington State,Zevi Eckhaus,Returning starter,Washington State,262.0,1758.0,12.0,9.0,0.634,6.7,2025 stats,
West Virginia,Scotty Fox Jr.,Returning starter,West Virginia,170.0,1276.0,7.0,6.0,0.594,7.5,2025 stats,
Western Kentucky,Maverick McIvor,Returning starter,Western Kentucky,254.0,1863.0,12.0,5.0,0.673,7.3,2025 stats,
Western Michigan,Broc Lowry,Returning starter,Western Michigan,243.0,1683.0,7.0,2.0,0.634,6.9,2025 stats,
Wisconsin,Hunter Simmons,Returning starter,Wisconsin,118.0,664.0,2.0,7.0,0.525,5.6,2025 stats,
Wyoming,Tyler Hughes,Transfer (incoming),William & Mary,308.0,2330.0,20.0,3.0,0.662,7.6,portal: William & Mary -> Wyoming,
